sex,age,edu,marital,ls,trust,nofriend,smoke,alcabuse,wkabint,englang,height,weight,income
MALE,56,VOCATIONAL/GRAMMAR,SINGLE,MIXED,ONE CAN`T BE TOO CAREFUL,5,YES,NO,NO,NONE,168,70,<=1K
FEMALE,56,POST-SECONDARY OR HIGHER,MARRIED,PLEASED,ONE CAN`T BE TOO CAREFUL,20,NO,NO,NO,NONE,160,70,>1K
FEMALE,20,VOCATIONAL/GRAMMAR,SINGLE,MOSTLY SATISFIED,ONE CAN`T BE TOO CAREFUL,2,YES,NO,NO,ACTIVE,165,53,<=1K
FEMALE,31,POST-SECONDARY OR HIGHER,MARRIED,DELIGHTED,ONE CAN`T BE TOO CAREFUL,2,NO,NO,NO,ACTIVE,164,65,>1K
FEMALE,54,VOCATIONAL/GRAMMAR,MARRIED,MOSTLY SATISFIED,ONE CAN`T BE TOO CAREFUL,2,NO,NO,NO,NONE,168,60,>1K
MALE,17,VOCATIONAL/GRAMMAR,SINGLE,PLEASED,ONE CAN`T BE TOO CAREFUL,8,NO,NO,NO,PASSIVE,187,100,<=1K
FEMALE,25,SECONDARY,DIVORCED,MOSTLY SATISFIED,ONE CAN`T BE TOO CAREFUL,3,YES,NO,NO,ACTIVE,158,53,>1K
FEMALE,62,PRIMARY/NO EDUCATION,MARRIED,MOSTLY SATISFIED,ONE CAN`T BE TOO CAREFUL,7,NO,NO,NO,NONE,164,84,<=1K
FEMALE,22,SECONDARY,SINGLE,MOSTLY SATISFIED,ONE CAN`T BE TOO CAREFUL,4,NO,NO,YES,ACTIVE,171,58,<=1K
MALE,83,PRIMARY/NO EDUCATION,MARRIED,MIXED,ONE CAN`T BE TOO CAREFUL,12,NO,NO,NO,NONE,169,73,>1K
FEMALE,72,PRIMARY/NO EDUCATION,MARRIED,MOSTLY SATISFIED,MOST PEOPLE CAN BE TRUSTED,3,NO,NO,NO,NONE,164,94,<=1K
MALE,23,SECONDARY,SINGLE,MOSTLY SATISFIED,ONE CAN`T BE TOO CAREFUL,10,NO,NO,NO,ACTIVE,178,72,>1K
FEMALE,24,SECONDARY,MARRIED,MOSTLY SATISFIED,ONE CAN`T BE TOO CAREFUL,5,NO,NO,NO,ACTIVE,167,56,<=1K
FEMALE,75,PRIMARY/NO EDUCATION,WIDOWED,MOSTLY SATISFIED,ONE CAN`T BE TOO CAREFUL,1,NO,NO,NO,NONE,158,80,>1K
FEMALE,76,VOCATIONAL/GRAMMAR,WIDOWED,PLEASED,ONE CAN`T BE TOO CAREFUL,5,NO,NO,NO,NONE,152,68,>1K
FEMALE,35,VOCATIONAL/GRAMMAR,SINGLE,MIXED,ONE CAN`T BE TOO CAREFUL,3,YES,YES,NO,NONE,178,66,<=1K
FEMALE,25,SECONDARY,SINGLE,MOSTLY SATISFIED,ONE CAN`T BE TOO CAREFUL,10,NO,NO,NO,NONE,168,80,<=1K
FEMALE,43,SECONDARY,MARRIED,MOSTLY SATISFIED,ONE CAN`T BE TOO CAREFUL,2,NO,NO,NO,NONE,170,75,<=1K
MALE,73,PRIMARY/NO EDUCATION,WIDOWED,MIXED,ONE CAN`T BE TOO CAREFUL,2,YES,NO,NO,NONE,175,90,>1K
FEMALE,46,VOCATIONAL/GRAMMAR,MARRIED,MIXED,ONE CAN`T BE TOO CAREFUL,2,NO,NO,NO,NONE,176,66,<=1K
FEMALE,20,VOCATIONAL/GRAMMAR,SINGLE,MOSTLY DISSATISFIED,ONE CAN`T BE TOO CAREFUL,4,NO,NO,NO,NONE,162,55,<=1K
FEMALE,47,SECONDARY,MARRIED,MOSTLY SATISFIED,ONE CAN`T BE TOO CAREFUL,4,NO,NO,NO,PASSIVE,170,79,>1K
FEMALE,34,SECONDARY,MARRIED,MOSTLY SATISFIED,IT`S DIFFICULT TO TELL,2,NO,NO,NO,NONE,154,80,<=1K
MALE,60,VOCATIONAL/GRAMMAR,MARRIED,MOSTLY SATISFIED,ONE CAN`T BE TOO CAREFUL,9,NO,NO,NO,NONE,182,120,>1K
FEMALE,65,PRIMARY/NO EDUCATION,WIDOWED,MOSTLY DISSATISFIED,ONE CAN`T BE TOO CAREFUL,2,NO,NO,NO,NONE,175,68,<=1K
FEMALE,50,POST-SECONDARY OR HIGHER,MARRIED,PLEASED,ONE CAN`T BE TOO CAREFUL,2,NO,NO,NO,PASSIVE,176,59,<=1K
MALE,61,PRIMARY/NO EDUCATION,MARRIED,PLEASED,ONE CAN`T BE TOO CAREFUL,4,YES,NO,NO,NONE,176,90,<=1K
FEMALE,50,SECONDARY,MARRIED,DELIGHTED,ONE CAN`T BE TOO CAREFUL,2,NO,NO,NO,NONE,161,55,<=1K
FEMALE,26,POST-SECONDARY OR HIGHER,MARRIED,DELIGHTED,ONE CAN`T BE TOO CAREFUL,10,NO,NO,NO,ACTIVE,165,100,<=1K
FEMALE,36,VOCATIONAL/GRAMMAR,MARRIED,MIXED,ONE CAN`T BE TOO CAREFUL,2,NO,NO,NO,NONE,164,50,<=1K
MALE,25,SECONDARY,SINGLE,MOSTLY SATISFIED,ONE CAN`T BE TOO CAREFUL,12,YES,NO,YES,PASSIVE,184,75,<=1K
FEMALE,83,POST-SECONDARY OR HIGHER,WIDOWED,PLEASED,ONE CAN`T BE TOO CAREFUL,8,YES,NO,NO,NONE,155,54,<=1K
MALE,37,SECONDARY,MARRIED,PLEASED,IT`S DIFFICULT TO TELL,5,NO,NO,NO,NONE,175,67,>1K
MALE,45,VOCATIONAL/GRAMMAR,DIVORCED,MOSTLY SATISFIED,ONE CAN`T BE TOO CAREFUL,5,YES,NO,NO,NONE,174,75,>1K
MALE,27,VOCATIONAL/GRAMMAR,SINGLE,PLEASED,MOST PEOPLE CAN BE TRUSTED,6,NO,NO,NO,ACTIVE,184,85,<=1K
FEMALE,36,SECONDARY,MARRIED,MOSTLY DISSATISFIED,ONE CAN`T BE TOO CAREFUL,5,YES,NO,YES,PASSIVE,152,56,>1K
MALE,17,VOCATIONAL/GRAMMAR,SINGLE,DELIGHTED,MOST PEOPLE CAN BE TRUSTED,3,NO,NO,YES,PASSIVE,170,73,<=1K
FEMALE,62,VOCATIONAL/GRAMMAR,MARRIED,MIXED,ONE CAN`T BE TOO CAREFUL,12,NO,NO,NO,NONE,160,69,<=1K
FEMALE,40,SECONDARY,MARRIED,MIXED,ONE CAN`T BE TOO CAREFUL,4,NO,NO,NO,NONE,164,74,<=1K
MALE,45,VOCATIONAL/GRAMMAR,MARRIED,PLEASED,ONE CAN`T BE TOO CAREFUL,14,NO,NO,NO,ACTIVE,178,92,<=1K
FEMALE,29,SECONDARY,MARRIED,MOSTLY SATISFIED,ONE CAN`T BE TOO CAREFUL,25,NO,YES,NO,PASSIVE,162,48,>1K
MALE,32,POST-SECONDARY OR HIGHER,MARRIED,PLEASED,MOST PEOPLE CAN BE TRUSTED,6,NO,NO,NO,ACTIVE,175,75,>1K
MALE,23,VOCATIONAL/GRAMMAR,SINGLE,MOSTLY SATISFIED,MOST PEOPLE CAN BE TRUSTED,1,YES,NO,NO,NONE,170,70,<=1K
FEMALE,58,SECONDARY,SINGLE,MIXED,ONE CAN`T BE TOO CAREFUL,8,YES,NO,NO,NONE,160,53,>1K
MALE,18,VOCATIONAL/GRAMMAR,SINGLE,PLEASED,MOST PEOPLE CAN BE TRUSTED,10,NO,NO,NO,NONE,170,65,<=1K
MALE,50,SECONDARY,MARRIED,MOSTLY SATISFIED,ONE CAN`T BE TOO CAREFUL,5,YES,NO,NO,NONE,178,98,>1K
FEMALE,64,SECONDARY,WIDOWED,UNHAPPY,IT`S DIFFICULT TO TELL,20,NO,NO,NO,PASSIVE,162,73,<=1K
FEMALE,54,POST-SECONDARY OR HIGHER,MARRIED,PLEASED,ONE CAN`T BE TOO CAREFUL,4,NO,NO,NO,NONE,160,58,>1K
FEMALE,53,VOCATIONAL/GRAMMAR,MARRIED,PLEASED,ONE CAN`T BE TOO CAREFUL,5,NO,YES,NO,NONE,158,55,<=1K
MALE,22,PRIMARY/NO EDUCATION,SINGLE,MOSTLY SATISFIED,MOST PEOPLE CAN BE TRUSTED,10,YES,NO,YES,PASSIVE,180,70,<=1K
MALE,49,POST-SECONDARY OR HIGHER,MARRIED,MOSTLY SATISFIED,ONE CAN`T BE TOO CAREFUL,0,NO,NO,NO,ACTIVE,180,112,<=1K
FEMALE,58,PRIMARY/NO EDUCATION,MARRIED,MIXED,ONE CAN`T BE TOO CAREFUL,4,NO,NO,NO,NONE,159,74,>1K
FEMALE,34,VOCATIONAL/GRAMMAR,MARRIED,PLEASED,ONE CAN`T BE TOO CAREFUL,2,NO,NO,NO,NONE,170,72,>1K
FEMALE,48,PRIMARY/NO EDUCATION,MARRIED,MOSTLY SATISFIED,ONE CAN`T BE TOO CAREFUL,4,NO,NO,NO,NONE,170,60,<=1K
FEMALE,65,POST-SECONDARY OR HIGHER,MARRIED,PLEASED,MOST PEOPLE CAN BE TRUSTED,3,NO,NO,NO,NONE,158,77,>1K
MALE,21,VOCATIONAL/GRAMMAR,SINGLE,MOSTLY DISSATISFIED,ONE CAN`T BE TOO CAREFUL,4,NO,YES,NO,NONE,196,89,<=1K
FEMALE,58,PRIMARY/NO EDUCATION,MARRIED,MOSTLY SATISFIED,ONE CAN`T BE TOO CAREFUL,9,NO,NO,NO,NONE,153,72,<=1K
MALE,26,SECONDARY,SINGLE,MIXED,ONE CAN`T BE TOO CAREFUL,15,NO,NO,NO,NONE,176,86,>1K
FEMALE,41,VOCATIONAL/GRAMMAR,DIVORCED,MOSTLY DISSATISFIED,ONE CAN`T BE TOO CAREFUL,5,NO,NO,NO,NONE,170,64,<=1K
FEMALE,42,POST-SECONDARY OR HIGHER,DIVORCED,TERRIBLE,ONE CAN`T BE TOO CAREFUL,0,YES,YES,NO,ACTIVE,164,53,<=1K
MALE,41,VOCATIONAL/GRAMMAR,MARRIED,PLEASED,ONE CAN`T BE TOO CAREFUL,10,NO,NO,NO,NONE,186,103,>1K
MALE,43,POST-SECONDARY OR HIGHER,MARRIED,MOSTLY SATISFIED,ONE CAN`T BE TOO CAREFUL,4,NO,NO,NO,ACTIVE,188,105,>1K
FEMALE,78,PRIMARY/NO EDUCATION,WIDOWED,MIXED,ONE CAN`T BE TOO CAREFUL,0,NO,NO,NO,NONE,182,83,<=1K
FEMALE,32,SECONDARY,MARRIED,PLEASED,ONE CAN`T BE TOO CAREFUL,2,NO,NO,NO,NONE,158,57,<=1K
MALE,21,POST-SECONDARY OR HIGHER,SINGLE,PLEASED,MOST PEOPLE CAN BE TRUSTED,15,NO,NO,NO,ACTIVE,175,70,<=1K
MALE,38,VOCATIONAL/GRAMMAR,MARRIED,MIXED,IT`S DIFFICULT TO TELL,2,NO,NO,YES,NONE,180,95,>1K
FEMALE,32,POST-SECONDARY OR HIGHER,MARRIED,PLEASED,ONE CAN`T BE TOO CAREFUL,10,YES,NO,NO,PASSIVE,167,60,>1K
FEMALE,70,PRIMARY/NO EDUCATION,WIDOWED,MOSTLY SATISFIED,ONE CAN`T BE TOO CAREFUL,2,NO,NO,NO,NONE,160,60,<=1K
MALE,51,VOCATIONAL/GRAMMAR,MARRIED,MOSTLY SATISFIED,ONE CAN`T BE TOO CAREFUL,3,NO,NO,NO,NONE,177,98,>1K
MALE,63,VOCATIONAL/GRAMMAR,DIVORCED,MIXED,ONE CAN`T BE TOO CAREFUL,5,NO,NO,NO,NONE,169,78,>1K
FEMALE,30,SECONDARY,MARRIED,PLEASED,ONE CAN`T BE TOO CAREFUL,4,NO,NO,NO,ACTIVE,164,52,<=1K
FEMALE,31,SECONDARY,MARRIED,MOSTLY SATISFIED,ONE CAN`T BE TOO CAREFUL,10,NO,NO,NO,PASSIVE,156,43,<=1K
FEMALE,56,VOCATIONAL/GRAMMAR,WIDOWED,MIXED,ONE CAN`T BE TOO CAREFUL,1,NO,NO,NO,NONE,170,93,>1K
FEMALE,75,SECONDARY,MARRIED,MOSTLY SATISFIED,ONE CAN`T BE TOO CAREFUL,20,NO,NO,NO,NONE,155,76,>1K
FEMALE,20,SECONDARY,SINGLE,DELIGHTED,ONE CAN`T BE TOO CAREFUL,6,NO,NO,NO,ACTIVE,171,82,<=1K
FEMALE,59,SECONDARY,WIDOWED,MOSTLY SATISFIED,ONE CAN`T BE TOO CAREFUL,5,YES,NO,NO,NONE,158,44,<=1K
FEMALE,18,VOCATIONAL/GRAMMAR,SINGLE,PLEASED,IT`S DIFFICULT TO TELL,5,NO,NO,NO,PASSIVE,174,58,<=1K
FEMALE,53,SECONDARY,MARRIED,PLEASED,ONE CAN`T BE TOO CAREFUL,2,YES,NO,NO,NONE,158,70,>1K
MALE,53,VOCATIONAL/GRAMMAR,SINGLE,MOSTLY SATISFIED,ONE CAN`T BE TOO CAREFUL,4,YES,NO,NO,NONE,170,83,>1K
MALE,37,VOCATIONAL/GRAMMAR,SINGLE,MOSTLY DISSATISFIED,IT`S DIFFICULT TO TELL,2,NO,YES,NO,NONE,168,80,<=1K
MALE,61,VOCATIONAL/GRAMMAR,MARRIED,MIXED,ONE CAN`T BE TOO CAREFUL,6,YES,NO,NO,NONE,178,110,<=1K
MALE,16,PRIMARY/NO EDUCATION,SINGLE,PLEASED,MOST PEOPLE CAN BE TRUSTED,24,NO,NO,NO,PASSIVE,165,64,<=1K
FEMALE,63,PRIMARY/NO EDUCATION,WIDOWED,MOSTLY DISSATISFIED,ONE CAN`T BE TOO CAREFUL,1,NO,NO,NO,NONE,160,80,<=1K
FEMALE,41,VOCATIONAL/GRAMMAR,MARRIED,PLEASED,ONE CAN`T BE TOO CAREFUL,5,NO,NO,NO,NONE,153,60,<=1K
MALE,17,VOCATIONAL/GRAMMAR,SINGLE,PLEASED,ONE CAN`T BE TOO CAREFUL,20,NO,NO,NO,ACTIVE,170,70,<=1K
MALE,54,PRIMARY/NO EDUCATION,MARRIED,MOSTLY SATISFIED,ONE CAN`T BE TOO CAREFUL,5,YES,NO,NO,NONE,176,125,<=1K
MALE,41,VOCATIONAL/GRAMMAR,MARRIED,PLEASED,ONE CAN`T BE TOO CAREFUL,2,YES,NO,NO,NONE,178,78,<=1K
MALE,27,SECONDARY,SINGLE,MIXED,ONE CAN`T BE TOO CAREFUL,5,YES,NO,YES,PASSIVE,176,73,>1K
MALE,62,VOCATIONAL/GRAMMAR,MARRIED,PLEASED,MOST PEOPLE CAN BE TRUSTED,0,YES,NO,NO,NONE,174,78,<=1K
MALE,58,SECONDARY,MARRIED,DELIGHTED,MOST PEOPLE CAN BE TRUSTED,2,NO,YES,NO,PASSIVE,191,116,<=1K
MALE,52,POST-SECONDARY OR HIGHER,MARRIED,MOSTLY SATISFIED,IT`S DIFFICULT TO TELL,1,NO,NO,YES,NONE,173,95,>1K
MALE,54,VOCATIONAL/GRAMMAR,MARRIED,MOSTLY SATISFIED,ONE CAN`T BE TOO CAREFUL,2,NO,NO,NO,NONE,178,90,>1K
FEMALE,23,POST-SECONDARY OR HIGHER,SINGLE,PLEASED,ONE CAN`T BE TOO CAREFUL,6,NO,NO,NO,ACTIVE,170,80,>1K
MALE,83,SECONDARY,MARRIED,PLEASED,ONE CAN`T BE TOO CAREFUL,6,NO,NO,NO,NONE,172,65,>1K
FEMALE,31,POST-SECONDARY OR HIGHER,MARRIED,PLEASED,ONE CAN`T BE TOO CAREFUL,5,NO,NO,NO,PASSIVE,170,67,<=1K
MALE,45,VOCATIONAL/GRAMMAR,SINGLE,MIXED,ONE CAN`T BE TOO CAREFUL,2,NO,NO,NO,NONE,170,64,>1K
FEMALE,37,POST-SECONDARY OR HIGHER,MARRIED,PLEASED,ONE CAN`T BE TOO CAREFUL,4,NO,NO,NO,ACTIVE,161,69,<=1K
FEMALE,57,SECONDARY,WIDOWED,MOSTLY SATISFIED,ONE CAN`T BE TOO CAREFUL,2,NO,NO,NO,NONE,167,75,<=1K
MALE,60,VOCATIONAL/GRAMMAR,MARRIED,MIXED,MOST PEOPLE CAN BE TRUSTED,15,NO,NO,NO,NONE,176,80,>1K
FEMALE,64,PRIMARY/NO EDUCATION,MARRIED,PLEASED,ONE CAN`T BE TOO CAREFUL,0,NO,NO,NO,NONE,160,96,<=1K
FEMALE,44,POST-SECONDARY OR HIGHER,SINGLE,MOSTLY SATISFIED,MOST PEOPLE CAN BE TRUSTED,9,NO,NO,NO,NONE,172,61,>1K
FEMALE,62,SECONDARY,SINGLE,UNHAPPY,ONE CAN`T BE TOO CAREFUL,0,NO,NO,NO,PASSIVE,158,68,<=1K
FEMALE,31,POST-SECONDARY OR HIGHER,SINGLE,PLEASED,MOST PEOPLE CAN BE TRUSTED,4,NO,YES,NO,ACTIVE,178,69,<=1K
MALE,61,SECONDARY,MARRIED,PLEASED,ONE CAN`T BE TOO CAREFUL,5,NO,NO,NO,NONE,180,105,>1K
MALE,34,POST-SECONDARY OR HIGHER,SINGLE,PLEASED,ONE CAN`T BE TOO CAREFUL,10,NO,NO,NO,ACTIVE,187,85,>1K
FEMALE,24,PRIMARY/NO EDUCATION,SINGLE,MIXED,MOST PEOPLE CAN BE TRUSTED,7,YES,NO,NO,NONE,152,45,<=1K
FEMALE,31,SECONDARY,SINGLE,MIXED,ONE CAN`T BE TOO CAREFUL,10,NO,NO,NO,ACTIVE,162,55,<=1K
FEMALE,72,PRIMARY/NO EDUCATION,MARRIED,MOSTLY SATISFIED,ONE CAN`T BE TOO CAREFUL,2,NO,NO,NO,NONE,163,78,<=1K
MALE,19,VOCATIONAL/GRAMMAR,SINGLE,PLEASED,IT`S DIFFICULT TO TELL,2,NO,NO,NO,ACTIVE,179,75,<=1K
FEMALE,20,SECONDARY,SINGLE,MOSTLY SATISFIED,MOST PEOPLE CAN BE TRUSTED,10,NO,NO,NO,ACTIVE,170,60,<=1K
MALE,54,VOCATIONAL/GRAMMAR,MARRIED,MIXED,ONE CAN`T BE TOO CAREFUL,0,YES,NO,NO,NONE,176,76,<=1K
MALE,56,VOCATIONAL/GRAMMAR,MARRIED,PLEASED,ONE CAN`T BE TOO CAREFUL,10,NO,NO,NO,NONE,190,80,<=1K
FEMALE,18,VOCATIONAL/GRAMMAR,SINGLE,PLEASED,ONE CAN`T BE TOO CAREFUL,6,NO,NO,NO,ACTIVE,172,73,<=1K
FEMALE,22,VOCATIONAL/GRAMMAR,MARRIED,MOSTLY SATISFIED,ONE CAN`T BE TOO CAREFUL,10,NO,NO,NO,ACTIVE,165,73,<=1K
FEMALE,19,VOCATIONAL/GRAMMAR,SINGLE,MOSTLY SATISFIED,ONE CAN`T BE TOO CAREFUL,3,NO,NO,NO,NONE,165,54,<=1K
FEMALE,55,PRIMARY/NO EDUCATION,WIDOWED,MIXED,ONE CAN`T BE TOO CAREFUL,30,NO,NO,NO,NONE,158,60,<=1K
FEMALE,37,VOCATIONAL/GRAMMAR,MARRIED,DELIGHTED,ONE CAN`T BE TOO CAREFUL,0,NO,NO,NO,NONE,155,60,<=1K
FEMALE,48,SECONDARY,WIDOWED,MOSTLY DISSATISFIED,ONE CAN`T BE TOO CAREFUL,5,NO,NO,NO,NONE,167,80,<=1K
FEMALE,36,SECONDARY,MARRIED,PLEASED,ONE CAN`T BE TOO CAREFUL,6,NO,NO,NO,PASSIVE,155,73,<=1K
FEMALE,36,POST-SECONDARY OR HIGHER,DIVORCED,MOSTLY SATISFIED,ONE CAN`T BE TOO CAREFUL,4,NO,NO,NO,ACTIVE,175,70,>1K
MALE,46,PRIMARY/NO EDUCATION,SINGLE,MIXED,ONE CAN`T BE TOO CAREFUL,6,YES,YES,NO,NONE,176,72,>1K
FEMALE,60,SECONDARY,MARRIED,MOSTLY SATISFIED,ONE CAN`T BE TOO CAREFUL,2,NO,NO,NO,NONE,150,70,<=1K
MALE,30,PRIMARY/NO EDUCATION,DIVORCED,MOSTLY DISSATISFIED,ONE CAN`T BE TOO CAREFUL,2,NO,YES,NO,NONE,175,80,>1K
MALE,22,SECONDARY,SINGLE,PLEASED,ONE CAN`T BE TOO CAREFUL,10,YES,YES,NO,ACTIVE,175,85,>1K
FEMALE,53,VOCATIONAL/GRAMMAR,MARRIED,MOSTLY SATISFIED,IT`S DIFFICULT TO TELL,15,NO,NO,NO,NONE,164,65,<=1K
FEMALE,61,PRIMARY/NO EDUCATION,MARRIED,MIXED,ONE CAN`T BE TOO CAREFUL,2,NO,NO,NO,NONE,160,83,<=1K
FEMALE,38,VOCATIONAL/GRAMMAR,SINGLE,MOSTLY DISSATISFIED,ONE CAN`T BE TOO CAREFUL,4,YES,NO,NO,NONE,167,65,<=1K
MALE,52,VOCATIONAL/GRAMMAR,MARRIED,MIXED,ONE CAN`T BE TOO CAREFUL,5,YES,NO,NO,NONE,179,82,<=1K
MALE,58,VOCATIONAL/GRAMMAR,MARRIED,MOSTLY SATISFIED,ONE CAN`T BE TOO CAREFUL,6,NO,NO,NO,NONE,170,80,<=1K
MALE,33,POST-SECONDARY OR HIGHER,MARRIED,MOSTLY SATISFIED,MOST PEOPLE CAN BE TRUSTED,20,NO,YES,NO,ACTIVE,179,80,>1K
MALE,57,VOCATIONAL/GRAMMAR,MARRIED,MIXED,ONE CAN`T BE TOO CAREFUL,6,NO,NO,NO,NONE,180,87,>1K
MALE,39,POST-SECONDARY OR HIGHER,MARRIED,MOSTLY SATISFIED,ONE CAN`T BE TOO CAREFUL,10,YES,NO,NO,PASSIVE,189,80,<=1K
FEMALE,19,VOCATIONAL/GRAMMAR,SINGLE,PLEASED,IT`S DIFFICULT TO TELL,4,NO,NO,NO,PASSIVE,161,70,<=1K
MALE,63,SECONDARY,MARRIED,MOSTLY SATISFIED,IT`S DIFFICULT TO TELL,5,NO,NO,NO,NONE,176,90,>1K
FEMALE,45,VOCATIONAL/GRAMMAR,MARRIED,MOSTLY DISSATISFIED,ONE CAN`T BE TOO CAREFUL,3,NO,NO,NO,NONE,160,65,>1K
MALE,17,PRIMARY/NO EDUCATION,SINGLE,MOSTLY SATISFIED,ONE CAN`T BE TOO CAREFUL,8,NO,NO,NO,NONE,174,60,<=1K
MALE,30,VOCATIONAL/GRAMMAR,MARRIED,PLEASED,MOST PEOPLE CAN BE TRUSTED,3,NO,NO,NO,NONE,194,94,>1K
MALE,53,VOCATIONAL/GRAMMAR,MARRIED,PLEASED,MOST PEOPLE CAN BE TRUSTED,6,NO,NO,NO,NONE,170,84,>1K
FEMALE,74,PRIMARY/NO EDUCATION,WIDOWED,MOSTLY SATISFIED,IT`S DIFFICULT TO TELL,3,NO,NO,NO,NONE,164,70,<=1K
FEMALE,38,VOCATIONAL/GRAMMAR,MARRIED,MIXED,ONE CAN`T BE TOO CAREFUL,8,NO,NO,NO,NONE,160,120,<=1K
FEMALE,31,POST-SECONDARY OR HIGHER,SINGLE,PLEASED,ONE CAN`T BE TOO CAREFUL,1,NO,NO,NO,NONE,170,58,>1K
MALE,33,SECONDARY,MARRIED,PLEASED,ONE CAN`T BE TOO CAREFUL,2,NO,NO,NO,PASSIVE,173,80,>1K
FEMALE,35,VOCATIONAL/GRAMMAR,MARRIED,PLEASED,MOST PEOPLE CAN BE TRUSTED,6,NO,NO,NO,NONE,164,60,>1K
MALE,53,VOCATIONAL/GRAMMAR,MARRIED,PLEASED,ONE CAN`T BE TOO CAREFUL,14,NO,NO,NO,NONE,165,68,>1K
MALE,63,PRIMARY/NO EDUCATION,MARRIED,MIXED,MOST PEOPLE CAN BE TRUSTED,4,YES,NO,NO,NONE,164,80,<=1K
FEMALE,38,VOCATIONAL/GRAMMAR,MARRIED,MOSTLY SATISFIED,IT`S DIFFICULT TO TELL,5,NO,NO,NO,NONE,165,60,<=1K
MALE,68,VOCATIONAL/GRAMMAR,MARRIED,MOSTLY SATISFIED,ONE CAN`T BE TOO CAREFUL,7,NO,NO,NO,NONE,178,87,>1K
MALE,66,SECONDARY,MARRIED,PLEASED,MOST PEOPLE CAN BE TRUSTED,6,NO,NO,NO,NONE,165,75,<=1K
MALE,56,SECONDARY,MARRIED,MOSTLY SATISFIED,ONE CAN`T BE TOO CAREFUL,4,NO,NO,NO,NONE,180,89,>1K
FEMALE,51,POST-SECONDARY OR HIGHER,MARRIED,PLEASED,ONE CAN`T BE TOO CAREFUL,12,NO,NO,NO,NONE,169,60,>1K
MALE,41,VOCATIONAL/GRAMMAR,MARRIED,MOSTLY SATISFIED,ONE CAN`T BE TOO CAREFUL,6,YES,NO,NO,NONE,172,60,<=1K
FEMALE,57,SECONDARY,WIDOWED,PLEASED,ONE CAN`T BE TOO CAREFUL,1,NO,NO,NO,NONE,168,64,>1K
FEMALE,50,VOCATIONAL/GRAMMAR,MARRIED,PLEASED,ONE CAN`T BE TOO CAREFUL,0,NO,NO,NO,NONE,164,71,>1K
MALE,40,SECONDARY,DIVORCED,MOSTLY DISSATISFIED,ONE CAN`T BE TOO CAREFUL,2,YES,YES,NO,NONE,185,107,>1K
FEMALE,29,VOCATIONAL/GRAMMAR,MARRIED,MOSTLY DISSATISFIED,ONE CAN`T BE TOO CAREFUL,3,YES,NO,NO,NONE,150,55,<=1K
FEMALE,57,VOCATIONAL/GRAMMAR,MARRIED,MIXED,IT`S DIFFICULT TO TELL,10,NO,NO,NO,NONE,160,68,>1K
FEMALE,77,SECONDARY,WIDOWED,MOSTLY SATISFIED,ONE CAN`T BE TOO CAREFUL,5,NO,NO,NO,NONE,168,62,<=1K
FEMALE,29,VOCATIONAL/GRAMMAR,MARRIED,PLEASED,ONE CAN`T BE TOO CAREFUL,4,YES,NO,NO,NONE,178,55,<=1K
FEMALE,71,VOCATIONAL/GRAMMAR,MARRIED,MOSTLY SATISFIED,ONE CAN`T BE TOO CAREFUL,10,YES,NO,NO,NONE,158,70,<=1K
FEMALE,59,POST-SECONDARY OR HIGHER,MARRIED,MOSTLY SATISFIED,MOST PEOPLE CAN BE TRUSTED,7,NO,NO,NO,ACTIVE,164,62,>1K
MALE,38,POST-SECONDARY OR HIGHER,MARRIED,PLEASED,ONE CAN`T BE TOO CAREFUL,1,NO,YES,NO,PASSIVE,194,110,<=1K
FEMALE,59,PRIMARY/NO EDUCATION,DIVORCED,MIXED,ONE CAN`T BE TOO CAREFUL,2,NO,NO,NO,NONE,156,60,<=1K
MALE,60,PRIMARY/NO EDUCATION,MARRIED,MOSTLY SATISFIED,MOST PEOPLE CAN BE TRUSTED,6,YES,NO,NO,NONE,170,65,>1K
MALE,79,PRIMARY/NO EDUCATION,WIDOWED,MOSTLY SATISFIED,ONE CAN`T BE TOO CAREFUL,3,NO,NO,NO,NONE,168,69,<=1K
MALE,53,VOCATIONAL/GRAMMAR,MARRIED,MIXED,ONE CAN`T BE TOO CAREFUL,3,YES,NO,NO,NONE,182,105,>1K
MALE,57,VOCATIONAL/GRAMMAR,MARRIED,MOSTLY SATISFIED,ONE CAN`T BE TOO CAREFUL,10,NO,NO,NO,PASSIVE,168,74,<=1K
MALE,52,VOCATIONAL/GRAMMAR,MARRIED,MOSTLY SATISFIED,ONE CAN`T BE TOO CAREFUL,2,NO,NO,NO,NONE,168,99,>1K
FEMALE,32,POST-SECONDARY OR HIGHER,SINGLE,MIXED,ONE CAN`T BE TOO CAREFUL,3,NO,NO,NO,PASSIVE,165,69,>1K
MALE,62,VOCATIONAL/GRAMMAR,WIDOWED,MIXED,ONE CAN`T BE TOO CAREFUL,10,NO,NO,NO,NONE,174,75,<=1K
FEMALE,24,SECONDARY,SINGLE,PLEASED,MOST PEOPLE CAN BE TRUSTED,8,NO,NO,NO,PASSIVE,162,65,<=1K
MALE,48,POST-SECONDARY OR HIGHER,MARRIED,MOSTLY SATISFIED,ONE CAN`T BE TOO CAREFUL,1,YES,NO,NO,NONE,175,75,>1K
FEMALE,33,POST-SECONDARY OR HIGHER,MARRIED,PLEASED,MOST PEOPLE CAN BE TRUSTED,8,NO,NO,NO,ACTIVE,170,58,>1K
